Width,Prob,Time
610,0.55,1109
610,0.6,1014
610,0.65,935
610,0.7,872
610,0.75,813
610,0.8,761
610,0.85,715
620,0.2,3091
620,0.25,2502
620,0.3,2060
620,0.35,1776
620,0.4,1547
620,0.45,1377
620,0.5,1241
620,0.55,1126
620,0.6,1032
620,0.65,950
620,0.7,886
620,0.75,826
620,0.8,775
620,0.85,727
630,0.2,3163
630,0.25,2517
630,0.3,2113
630,0.35,1797
630,0.4,1570
630,0.45,1396
630,0.5,1262
630,0.55,1144
630,0.6,1049
630,0.65,969
630,0.7,898
630,0.75,841
630,0.8,788
630,0.85,741
640,0.2,3186
640,0.25,2557
640,0.3,2134
640,0.35,1841
640,0.4,1609
640,0.45,1419
640,0.5,1274
640,0.55,1159
640,0.6,1067
640,0.65,988
640,0.7,913
640,0.75,854
640,0.8,798
640,0.85,751
650,0.2,3239
650,0.25,2595
650,0.3,2153
650,0.35,1858
650,0.4,1615
650,0.45,1447
650,0.5,1290
650,0.55,1182
650,0.6,1085
650,0.65,1004
650,0.7,929
650,0.75,866
650,0.8,813
650,0.85,765
660,0.2,3295
660,0.25,2623
660,0.3,2200
660,0.35,1886
660,0.4,1646
660,0.45,1472
660,0.5,1319
660,0.55,1195
660,0.6,1094
660,0.65,1011
660,0.7,942
660,0.75,880
660,0.8,826
660,0.85,773
670,0.2,3361
670,0.25,2671
670,0.3,2218
670,0.35,1915
670,0.4,1674
670,0.45,1487
670,0.5,1342
670,0.55,1215
670,0.6,1119
670,0.65,1031
670,0.7,958
670,0.75,890
670,0.8,837
670,0.85,788
680,0.2,3384
680,0.25,2722
680,0.3,2265
680,0.35,1940
680,0.4,1701
680,0.45,1508
680,0.5,1364
680,0.55,1237
680,0.6,1135
680,0.65,1044
680,0.7,972
680,0.75,905
680,0.8,850
680,0.85,799
690,0.2,3447
690,0.25,2770
690,0.3,2299
690,0.35,1968
690,0.4,1724
690,0.45,1530
690,0.5,1381
690,0.55,1250
690,0.6,1146
690,0.65,1059
690,0.7,984
690,0.75,919
690,0.8,862
690,0.85,811
700,0.2,3505
700,0.25,2786
700,0.3,2328
