Width,Prob,Time
460,0.5,9182.14
461,0.5,9231.43
462,0.5,9224.26
463,0.5,9257.93
464,0.5,9274.36
465,0.5,9282.78
466,0.5,9314.08
467,0.5,9318.4
468,0.5,9337.15
469,0.5,9360.35
470,0.5,9395
471,0.5,9413.42
472,0.5,9422.31
473,0.5,9464.14
474,0.5,9486.16
475,0.5,9482.26
476,0.5,9510.6
477,0.5,9549.38
478,0.5,9523.25
479,0.5,9574.71
480,0.5,9595.06
481,0.5,9629.46
482,0.5,9630.49
483,0.5,9646.88
484,0.5,9656.2
485,0.5,9682.05
486,0.5,9691.45
487,0.5,9733.84
488,0.5,9754
489,0.5,9769.36
490,0.5,9803.15
491,0.5,9811.47
492,0.5,9851.82
493,0.5,9834.26
494,0.5,9885.89
495,0.5,9889.92
496,0.5,9913.36
497,0.5,9931.89
498,0.5,9946.56
499,0.5,9988.51
500,0.5,9997.34
501,0.5,10014.63
502,0.5,10033.4
503,0.5,10052.06
504,0.5,10058.83
505,0.5,10079.91
506,0.5,10116.86
507,0.5,10147.12
508,0.5,10135.23
509,0.5,10163.5
510,0.5,10185.74
511,0.5,10210.55
512,0.5,10238.53
513,0.5,10237.57
514,0.5,10263.93
515,0.5,10300.67
516,0.5,10320.01
517,0.5,10326.54
518,0.5,10346.65
519,0.5,10391.69
520,0.5,10385.19
521,0.5,10433.6
522,0.5,10423.23
523,0.5,10449.02
524,0.5,10461.49
525,0.5,10500.21
526,0.5,10512.06
527,0.5,10543.29
528,0.5,10534.23
529,0.5,10593.17
530,0.5,10592.8
531,0.5,10603.35
532,0.5,10617.62
533,0.5,10650.43
534,0.5,10651.24
535,0.5,10688.42
536,0.5,10702.98
537,0.5,10711.46
538,0.5,10758.45
539,0.5,10775.45
540,0.5,10816.07
541,0.5,10788.26
542,0.5,10825.41
543,0.5,10864.28
544,0.5,10861.51
545,0.5,10881.07
546,0.5,10899.34
547,0.5,10932.65
548,0.5,10964.34
549,0.5,10961.62
550,0.5,10994.37
551,0.5,10996.87
552,0.5,11034.3
553,0.5,11055.97
554,0.5,11075.74
555,0.5,11114.07
556,0.5,11114.28
557,0.5,11144.55
558,0.5,11150.96
559,0.5,11177.42
560,0.5,11175.29
561,0.5,11215.15
562,0.5,11225.77
563,0.5,11252.26
564,0.5,11271.74
565,0.5,11287.45
566,0.5,11307.72
567,0.5,11319.12
568,0.5,11330.42
569,0.5,11355.97
570,0.5,11386.1
571,0.5,11416.71
572,0.5,11409.18
573,0.5,11448.11
574,0.5,11464.12
575,0.5,11472.03
576,0.5,11511.24
577,0.5,11534.05
578,0.5,11563.32
579,0.5,11587.38
580,0.5,11590.12
581,0.5,11594.08
582,0.5,11634.78
583,0.5,11640.7
584,0.5,11663.45
585,0.5,11667.99
